,CPII
1946-06-30,15.87149732620321
1946-07-31,14.989747474747476
1946-08-31,14.69292079207921
1946-09-30,14.54887254901961
1946-10-31,14.26908653846154
1946-11-30,13.934131455399061
1946-12-31,13.804511627906978
1947-01-31,13.804511627906978
1947-02-28,13.804511627906978
1947-03-31,13.552374429223747
1947-04-30,13.552374429223747
1947-05-31,13.552374429223747
1947-06-30,13.490772727272729
1947-07-31,13.369234234234236
1947-08-31,13.190977777777778
1947-09-30,12.904217391304348
1947-10-31,12.904217391304348
1947-11-30,12.848354978354978
1947-12-31,12.68363247863248
1948-01-31,12.523080168776373
1948-02-29,12.629659574468086
1948-03-31,12.68363247863248
1948-04-30,12.47046218487395
1948-05-31,12.418284518828454
1948-06-30,12.315228215767636
1948-07-31,12.163811475409839
1948-08-31,12.114163265306123
1948-09-30,12.114163265306123
1948-10-31,12.163811475409839
1948-11-30,12.264338842975208
1948-12-31,12.315228215767636
1949-01-31,12.366541666666668
1949-02-28,12.47046218487395
1949-03-31,12.47046218487395
1949-04-30,12.418284518828454
1949-05-31,12.47046218487395
1949-06-30,12.418284518828454
1949-07-31,12.523080168776373
1949-08-31,12.47046218487395
1949-09-30,12.418284518828454
1949-10-31,12.523080168776373
1949-11-30,12.47046218487395
1949-12-31,12.57614406779661
1950-01-31,12.629659574468086
1950-02-28,12.629659574468086
1950-03-31,12.57614406779661
1950-04-30,12.57614406779661
1950-05-31,12.523080168776373
1950-06-30,12.47046218487395
1950-07-31,12.315228215767636
1950-08-31,12.213868312757203
1950-09-30,12.163811475409839
1950-10-31,12.064918699186991
1950-11-30,12.01607287449393
1950-12-31,11.87188
1951-01-31,11.684921259842522
1951-02-28,11.548521400778212
1951-03-31,11.50375968992248
1951-04-30,11.50375968992248
1951-05-31,11.45934362934363
1951-06-30,11.45934362934363
1951-07-31,11.45934362934363
1951-08-31,11.45934362934363
1951-09-30,11.371532567049808
1951-10-31,11.328129770992367
1951-11-30,11.242310606060608
1951-12-31,11.199886792452832
1952-01-31,11.199886792452832
1952-02-29,11.285057034220532
1952-03-31,11.285057034220532
1952-04-30,11.242310606060608
1952-05-31,11.242310606060608
1952-06-30,11.199886792452832
1952-07-31,11.115992509363297
1952-08-31,11.115992509363297
1952-09-30,11.115992509363297
1952-10-31,11.115992509363297
1952-11-30,11.115992509363297
1952-12-31,11.115992509363297
1953-01-31,11.157781954887218
1953-02-28,11.199886792452832
1953-03-31,11.157781954887218
1953-04-30,11.157781954887218
1953-05-31,11.115992509363297
1953-06-30,11.074514925373135
1953-07-31,11.074514925373135
1953-08-31,11.033345724907065
1953-09-30,11.033345724907065
1953-10-31,10.992481481481482
1953-11-30,11.033345724907065
1953-12-31,11.033345724907065
1954-01-31,11.033345724907065
1954-02-28,11.033345724907065
1954-03-31,11.033345724907065
1954-04-30,11.074514925373135
1954-05-31,11.033345724907065
1954-06-30,11.033345724907065
1954-07-31,11.033345724907065
1954-08-31,11.033345724907065
1954-09-30,11.074514925373135
1954-10-31,11.074514925373135
1954-11-30,11.074514925373135
1954-12-31,11.115992509363297
1955-01-31,11.115992509363297
1955-02-28,11.115992509363297
1955-03-31,11.115992509363297
1955-04-30,11.115992509363297
1955-05-31,11.115992509363297
1955-06-30,11.115992509363297
1955-07-31,11.074514925373135
1955-08-31,11.074514925373135
1955-09-30,11.033345724907065
1955-10-31,11.033345724907065
1955-11-30,11.033345724907065
1955-12-31,11.074514925373135
1956-01-31,11.074514925373135
1956-02-29,11.074514925373135
1956-03-31,11.074514925373135
1956-04-30,11.033345724907065
1956-05-31,10.992481481481482
1956-06-30,10.911654411764706
1956-07-31,10.832007299270074
1956-08-31,10.871684981684982
1956-09-30,10.832007299270074
1956-10-31,10.792618181818183
1956-11-30,10.792618181818183
1956-12-31,10.753514492753624
1957-01-31,10.753514492753624
1957-02-28,10.714693140794225
1957-03-31,10.676151079136691
1957-04-30,10.6378853046595
1957-05-31,10.599892857142859
1957-06-30,10.562170818505338
1957-07-31,10.487526501766785
1957-08-31,10.487526501766785
1957-09-30,10.487526501766785
1957-10-31,10.487526501766785
1957-11-30,10.450598591549298
1957-12-31,10.450598591549298
1958-01-31,10.377517482517483
1958-02-28,10.377517482517483
1958-03-31,10.305451388888889
1958-04-30,10.269792387543253
1958-05-31,10.269792387543253
1958-06-30,10.269792387543253
1958-07-31,10.234379310344828
1958-08-31,10.269792387543253
1958-09-30,10.269792387543253
1958-10-31,10.269792387543253
1958-11-30,10.234379310344828
1958-12-31,10.269792387543253
1959-01-31,10.234379310344828
1959-02-28,10.269792387543253
1959-03-31,10.269792387543253
1959-04-30,10.234379310344828
1959-05-31,10.234379310344828
1959-06-30,10.199209621993127
1959-07-31,10.16428082191781
1959-08-31,10.16428082191781
1959-09-30,10.129590443686007
1959-10-31,10.09513605442177
1959-11-30,10.09513605442177
1959-12-31,10.09513605442177
1960-01-31,10.129590443686007
1960-02-29,10.09513605442177
1960-03-31,10.09513605442177
1960-04-30,10.060915254237289
1960-05-31,10.060915254237289
1960-06-30,10.026925675675676
1960-07-31,10.026925675675676
1960-08-31,10.026925675675676
1960-09-30,10.026925675675676
1960-10-31,9.959630872483222
1960-11-30,9.959630872483222
1960-12-31,9.959630872483222
1961-01-31,9.959630872483222
1961-02-28,9.959630872483222
1961-03-31,9.959630872483222
1961-04-30,9.959630872483222
1961-05-31,9.959630872483222
1961-06-30,9.959630872483222
1961-07-31,9.893233333333335
1961-08-31,9.926321070234115
1961-09-30,9.893233333333335
1961-10-31,9.893233333333335
1961-11-30,9.893233333333335
